,pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
58654,74,16,475,2,0,
166889,205,16,475,1,32,1.0
169735,208,16,475,1,19,1.0
185776,227,16,475,1,50,1.0
241734,304,16,475,1,43,1.0
242466,305,16,475,1,47,1.0
243451,306,16,475,1,51,1.0
367704,524,16,475,2,0,
387468,582,16,475,2,0,
392744,599,16,475,1,31,1.0
392997,600,16,475,1,31,1.0
393273,601,16,475,1,31,1.0
416473,679,16,475,1,18,1.0
416649,680,16,475,1,18,1.0
416827,681,16,475,1,1,3.0
445475,10026,16,475,1,1,3.0
452505,10053,16,475,1,51,1.0
456948,10072,16,475,1,19,1.0
