,pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
3324,4,18,68,2,0,
12548,19,18,68,2,0,
18864,27,18,68,2,0,
20634,29,18,68,2,0,
23287,32,18,68,2,0,
34987,46,18,68,2,0,
43733,56,18,68,2,0,
52334,66,18,68,2,0,
86677,107,18,68,1,1,3.0
86678,107,18,68,1,61,
90494,111,18,68,2,0,
92866,113,18,68,2,0,
94975,115,18,68,2,0,
101458,123,18,68,2,0,
117122,143,18,68,2,0,
126289,152,18,68,2,0,
136867,165,18,68,2,0,
152433,185,18,68,1,36,
156268,190,18,68,2,0,
159219,194,18,68,2,0,
164445,202,18,68,1,1,1.0
166164,204,18,68,2,0,
168934,207,18,68,2,0,
175093,214,18,68,1,19,
176156,215,18,68,2,0,
177125,216,18,68,2,0,
184200,225,18,68,2,0,
186747,228,18,68,2,0,
188969,231,18,68,2,0,
192117,236,18,68,2,0,
192811,237,18,68,1,28,
208282,255,18,68,2,0,
210662,258,18,68,2,0,
217127,270,18,68,2,0,
228117,286,18,68,1,22,
228914,287,18,68,1,30,
229714,288,18,68,1,33,
230577,289,18,68,1,33,
235546,296,18,68,2,0,
244420,307,18,68,1,44,
245295,308,18,68,1,53,
262117,331,18,68,2,0,
265369,335,18,68,2,0,
283963,360,18,68,1,15,1.0
304388,390,18,68,2,0,
313813,410,18,68,2,0,
318603,422,18,68,2,0,
327082,438,18,68,1,36,
328263,440,18,68,2,0,
331487,446,18,68,2,0,
332073,447,18,68,1,6,
332688,448,18,68,1,6,
335378,453,18,68,2,0,
370640,532,18,68,2,0,
372862,539,18,68,1,13,
376311,551,18,68,2,0,
378579,557,18,68,2,0,
379340,559,18,68,2,0,
383312,570,18,68,2,0,
389349,588,18,68,2,0,
396087,610,18,68,2,0,
422117,704,18,68,2,0,
428651,749,18,68,1,36,
428731,750,18,68,1,42,
430721,771,18,68,1,17,
431959,782,18,68,2,0,
433123,794,18,68,1,43,
433950,802,18,68,1,1,7.0
435610,10002,18,68,1,73,1.0
450902,10047,18,68,1,19,
452862,10054,18,68,1,53,
454154,10059,18,68,1,6,
463070,10126,18,68,1,0,
463071,10126,18,68,1,1,1.0
465506,10152,18,68,1,1,3.0
