,pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
169742,208,17,20,1,1,7.0
169743,208,17,21,1,28,
169744,208,17,33,1,1,5.0
169745,208,17,38,1,49,
169746,208,17,46,4,0,
169747,208,17,63,4,0,
169748,208,17,88,1,7,
169749,208,17,89,4,0,
169750,208,17,91,1,43,
169751,208,17,92,4,0,
169752,208,17,99,1,13,
169753,208,17,103,1,31,
169754,208,17,104,4,0,
169755,208,17,106,1,1,6.0
169756,208,17,153,4,0,
169757,208,17,156,4,0,
169758,208,17,157,1,34,
169759,208,17,157,4,0,
169760,208,17,164,4,0,
169761,208,17,174,1,4,
169762,208,17,182,4,0,
169763,208,17,201,1,52,
169764,208,17,201,4,0,
169765,208,17,207,4,0,
169766,208,17,213,4,0,
169767,208,17,214,4,0,
169768,208,17,216,4,0,
169769,208,17,218,4,0,
169770,208,17,225,1,25,
169771,208,17,231,1,40,
169772,208,17,237,4,0,
169773,208,17,241,4,0,
169774,208,17,242,1,37,
169775,208,17,244,4,0,
169776,208,17,259,4,0,
169777,208,17,263,4,0,
169778,208,17,267,4,0,
169779,208,17,269,4,0,
169780,208,17,300,1,1,4.0
169781,208,17,317,1,10,
169782,208,17,317,4,0,
169783,208,17,360,1,20,
169784,208,17,360,4,0,
169785,208,17,371,4,0,
169786,208,17,397,4,0,
169787,208,17,399,4,0,
169788,208,17,416,4,0,
169789,208,17,422,1,1,1.0
169790,208,17,423,1,1,2.0
169791,208,17,424,1,1,3.0
169792,208,17,430,4,0,
169793,208,17,444,1,46,
169794,208,17,444,4,0,
169795,208,17,446,1,16,
169796,208,17,475,1,19,
169797,208,17,479,1,22,
169798,208,17,479,4,0,
169799,208,17,496,4,0,
169800,208,17,523,4,0,
169801,208,17,525,4,0,
169802,208,17,590,4,0,
169803,208,17,693,4,0,
