,pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
104101,126,18,436,1,36,
110779,136,18,436,1,37,
128551,155,18,436,1,37,
129225,156,18,436,1,42,
130085,157,18,436,1,43,
178759,218,18,436,1,34,
179535,219,18,436,1,34,
195270,240,18,436,1,33,
198902,244,18,436,1,1,4.0
198903,244,18,436,1,57,
255322,322,18,436,1,22,
256042,323,18,436,1,22,
256785,324,18,436,1,25,
299750,383,18,436,1,20,
343185,467,18,436,1,36,
353154,485,18,436,1,49,
458066,10078,18,436,1,20,
459033,10087,18,436,1,22,
