,pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
765,1,17,156,4,0,
1521,2,17,156,4,0,
2354,3,17,156,4,0,
3274,4,17,156,4,0,
4100,5,17,156,4,0,
5120,6,17,156,4,0,
6088,7,17,156,4,0,
6937,8,17,156,4,0,
7897,9,17,156,4,0,
8783,12,17,156,4,0,
9609,15,17,156,4,0,
10312,16,17,156,4,0,
10963,17,17,156,4,0,
11643,18,17,156,4,0,
12505,19,17,156,4,0,
13378,20,17,156,4,0,
14095,21,17,156,4,0,
14767,22,17,156,4,0,
15593,23,17,156,4,0,
16438,24,17,156,4,0,
17249,25,17,156,4,0,
17933,26,17,156,4,0,
18815,27,17,156,4,0,
19716,28,17,156,4,0,
20588,29,17,156,4,0,
21352,30,17,156,4,0,
22367,31,17,156,4,0,
23241,32,17,156,4,0,
23997,33,17,156,4,0,
25002,34,17,156,4,0,
26144,35,17,156,4,0,
27143,36,17,156,4,0,
27968,37,17,156,4,0,
28617,38,17,156,4,0,
29627,39,17,156,1,30,
29628,39,17,156,4,0,
30578,40,17,156,4,0,
31375,41,17,156,4,0,
32152,42,17,156,4,0,
32865,43,17,156,4,0,
33535,44,17,156,4,0,
34116,45,17,156,4,0,
34944,46,17,156,4,0,
35747,47,17,156,4,0,
36479,48,17,156,4,0,
37266,49,17,156,4,0,
38042,50,17,156,4,0,
38805,51,17,156,4,0,
39745,52,17,156,4,0,
40675,53,17,156,4,0,
41675,54,17,156,4,0,
42636,55,17,156,4,0,
43675,56,17,156,4,0,
44704,57,17,156,4,0,
45564,58,17,156,4,0,
46234,59,17,156,4,0,
46992,60,17,156,4,0,
47803,61,17,156,4,0,
48596,62,17,156,4,0,
49413,63,17,156,4,0,
50343,64,17,156,4,0,
51306,65,17,156,4,0,
52278,66,17,156,4,0,
53162,67,17,156,4,0,
54061,68,17,156,4,0,
54855,69,17,156,4,0,
55563,70,17,156,4,0,
56166,71,17,156,4,0,
56987,72,17,156,4,0,
57800,73,17,156,4,0,
58677,74,17,156,4,0,
59524,75,17,156,4,0,
60423,76,17,156,4,0,
61162,77,17,156,4,0,
61892,78,17,156,4,0,
62933,79,17,156,4,0,
64070,80,17,156,4,0,
64782,81,17,156,4,0,
65539,82,17,156,4,0,
66410,83,17,156,4,0,
67138,84,17,156,4,0,
67833,85,17,156,4,0,
68640,86,17,156,1,21,
68641,86,17,156,4,0,
69426,87,17,156,1,21,
69427,87,17,156,4,0,
70333,88,17,156,4,0,
71254,89,17,156,4,0,
72009,90,17,156,4,0,
72624,91,17,156,4,0,
73496,92,17,156,4,0,
74346,93,17,156,4,0,
75346,94,17,156,4,0,
76258,95,17,156,4,0,
77279,96,17,156,4,0,
78275,97,17,156,4,0,
79174,98,17,156,4,0,
80014,99,17,156,4,0,
80694,100,17,156,4,0,
81432,101,17,156,4,0,
