,pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
47512,61,11,3,1,15,
47513,61,11,34,1,21,
47514,61,11,55,1,11,
47515,61,11,56,1,48,
47516,61,11,57,4,0,
47517,61,11,58,4,0,
47518,61,11,59,4,0,
47519,61,11,61,1,27,
47520,61,11,70,4,0,
47521,61,11,89,4,0,
47522,61,11,91,4,0,
47523,61,11,92,4,0,
47524,61,11,94,4,0,
47525,61,11,95,1,1,3.0
47526,61,11,95,1,8,
47527,61,11,104,4,0,
47528,61,11,127,4,0,
47529,61,11,145,1,1,2.0
47530,61,11,145,1,5,
47531,61,11,156,4,0,
47532,61,11,164,4,0,
47533,61,11,168,4,0,
47534,61,11,182,4,0,
47535,61,11,187,1,37,
47536,61,11,207,4,0,
47537,61,11,213,4,0,
47538,61,11,216,4,0,
47539,61,11,218,4,0,
47540,61,11,237,4,0,
47541,61,11,240,1,18,
47542,61,11,240,4,0,
47543,61,11,249,4,0,
47544,61,11,258,4,0,
47545,61,11,263,4,0,
47546,61,11,280,4,0,
47547,61,11,291,4,0,
47548,61,11,341,1,32,
47549,61,11,346,1,1,1.0
47550,61,11,358,1,43,
47551,61,11,374,4,0,
47552,61,11,426,1,53,
47553,61,11,496,4,0,
47554,61,11,503,4,0,
47555,61,11,523,4,0,
